model_path,avg_latency_ms,min_latency_ms,max_latency_ms,std_latency_ms,fps,memory_usage_mb,test_time
models/test_quantized_model.pt,57.182067999092396,47.92829998768866,114.60450000595301,9.59783724931807,17.48799990961978,3.14453125,2025-07-27 09:51:19
models/quantized_seg_model.pt,49.25864800083218,44.51209999388084,107.06300000310875,9.21317824181875,20.301003794970296,2.6484375,2025-07-27 09:52:46
models/quantized_seg_model.pt,50.34157399961259,44.86020002514124,109.92700001224875,10.39817623885643,19.864297449414188,2.44921875,2025-07-27 10:14:36
models/quantized_seg_model_stage2.pt,56.414886999700684,51.26349997590296,104.67700002482161,6.113700034051445,17.725817655281407,2.64453125,2025-07-27 11:34:24
models/quantized_seg_model_stage3.pt,49.96358899894403,47.65090000000782,99.8842999979388,5.407645281579384,20.014575014239565,1.08984375,2025-07-27 14:34:14
models/quantized_seg_model_stage4.pt,57.31433900044067,53.8652999966871,114.09020001883619,6.584974290880653,17.447640807517843,1.5078125,2025-07-27 17:24:25
models/quantized_seg_model_stage1.pt,68.82811199968273,67.22370000352385,113.29480000131298,4.8347908003368545,14.528947125625203,0.765625,2025-07-30 04:34:36
models/test_quantized_model.pt,204.84130400058348,146.47329997387715,935.1973999873735,100.70558770489241,4.881827934453842,7.7421875,2025-07-31 09:16:34
models/test_quantized_model.pt,141.09996399958618,135.72510000085458,260.19450000603683,15.71977187555868,7.087174026514513,7.82421875,2025-07-31 09:17:20
models/quantized_seg_model_stage2.pt,139.43654999980936,135.57789998594671,199.31379999616183,6.610580690595557,7.171720757587356,7.87109375,2025-08-01 05:57:04
models/quantized_seg_model.pt,143.29546400011168,136.7210000025807,158.1162999937078,5.1919214360655035,6.978587961439035,162.60546875,2025-08-03 14:28:28
models/quantized_seg_model_stage1.pt,137.8373830000055,128.26379999751225,165.44209999847226,6.709953309376521,7.2549259006169615,162.60546875,2025-08-04 00:52:28
models/quantized_seg_model.pt,160.14981300075306,152.0794000243768,183.96059999940917,6.370460650258753,6.244153404008644,162.60546875,2025-08-04 19:23:51
